subjID	wme_mask	intersect_ses-S1_task-study	intersect_ses-S2_task-test	intersect_ses-S2_task-rest	scaled_ses-S1_1	scaled_ses-S1_2	scaled_ses-S2_1	scaled_ses-S2_2	scaled_ses-S2_3	scaled_resting	decon_ses-S1_1	decon_ses-S2_1	decon_resting	ashs_L	ashs_R	reface
sub-4175	2022-03-05 09:03:06		2022-03-05 09:03:06				2022-03-05 09:03:10	2022-03-05 09:03:09	2022-03-05 09:03:07			2022-03-05 09:03:10		2021-12-20 09:18:21	2021-12-20 09:18:21	2021-11-29 15:17:15
sub-4177	2022-03-05 09:36:02		2022-03-05 09:36:02				2022-03-05 09:36:11	2022-03-05 09:36:04	2022-03-05 09:36:05			2022-03-05 09:36:06		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 15:17:08
sub-4184	2022-03-05 10:25:36		2022-03-05 10:25:36				2022-03-05 10:25:38	2022-03-05 10:25:44	2022-03-05 10:25:39			2022-03-05 10:25:39		2021-12-20 09:18:00	2021-12-20 09:18:00	2021-11-29 15:17:30
sub-4186	2022-03-24 11:41:10		2022-03-24 11:41:09				2022-03-24 11:42:24	2022-03-24 11:43:20	2022-03-24 11:49:25			2022-03-24 11:49:25		2021-12-20 09:17:57	2021-12-20 09:17:57	2021-11-29 15:27:28
sub-4188	2022-03-06 00:09:01		2022-03-06 00:09:01				2022-03-06 00:09:02	2022-03-06 00:09:10	2022-03-06 00:09:04			2022-03-06 00:09:04		2021-12-20 09:18:00	2021-12-20 09:18:00	2021-11-29 15:27:33
sub-4189	2022-03-06 00:25:11		2022-03-06 00:25:11				2022-03-06 00:25:20	2022-03-06 00:25:15	2022-03-06 00:25:14			2022-03-06 00:25:15		2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 15:27:29
sub-4190	2022-03-05 23:56:20		2022-03-05 23:56:20				2022-03-05 23:56:22	2022-03-05 23:56:28	2022-03-05 23:56:23			2022-03-05 23:56:23		2021-12-20 09:17:58	2021-12-20 09:17:58	2021-11-29 15:27:40
sub-4191	2022-03-05 23:18:02		2022-03-05 23:18:02				2022-03-05 23:18:14	2022-03-05 23:18:11	2022-03-05 23:18:31			2022-03-05 23:18:18		2021-12-20 09:18:21	2021-12-20 09:18:21	2021-11-29 15:27:28
sub-4192	2022-03-07 12:02:27		2022-03-07 12:02:27				2022-03-07 12:02:34	2022-03-07 12:02:29	2022-03-07 12:02:28			2022-03-07 12:02:30		2022-03-07 10:43:29	2022-03-07 10:43:29	2021-11-29 15:27:08
sub-4193	2022-03-05 22:14:47		2022-03-05 22:14:47				2022-03-05 22:14:48	2022-03-05 22:14:51	2022-03-05 22:14:49			2022-03-05 22:14:51				2021-11-29 15:27:44
